epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,21573.8,1.45337,0.70852,0.00195,0.90632,0.83587,0.90258,0.62605,1.25906,0.58917,0.00268,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,22236,1.44471,0.69999,0.00194,0.90911,0.82475,0.90151,0.63035,1.2431,nan,0.00264,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,22898.5,1.42598,0.6795,0.00192,0.91669,0.8317,0.90517,0.64047,1.22238,nan,0.00258,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,23560.7,1.41584,0.67179,0.00189,0.90072,0.84416,0.90724,0.64774,1.20498,nan,0.00255,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,24223.3,1.39279,0.65865,0.00185,0.90885,0.846,0.90906,0.65488,1.18681,nan,0.00251,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,24885.8,1.38136,0.64019,0.00184,0.91446,0.8462,0.91049,0.65881,1.17511,0.54921,0.00247,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,25548,1.36055,0.63501,0.00181,0.92467,0.84492,0.9127,0.66513,1.15828,0.54625,0.00243,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,26210.5,1.34671,0.61545,0.00178,0.92216,0.85415,0.91559,0.67182,1.1427,0.53973,0.00239,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,26873.2,1.33673,0.6088,0.00177,0.92754,0.85049,0.91647,0.6765,1.13236,0.52599,0.00237,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,27536.1,1.3232,0.5989,0.00174,0.93349,0.84804,0.91841,0.6819,1.12207,0.51386,0.00234,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,28198.3,1.31087,0.59173,0.00173,0.93929,0.84804,0.91886,0.68605,1.10637,0.51307,0.0023,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,28860.2,1.29659,0.59125,0.00171,0.93991,0.8509,0.92044,0.69189,1.09365,nan,0.00228,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,29523.1,1.28231,0.5721,0.00168,0.94074,0.84988,0.92092,0.69583,1.08109,nan,0.00225,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,30185.9,1.26568,0.56094,0.00166,0.93616,0.85665,0.92157,0.69951,1.07093,nan,0.00223,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
