epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,5673.31,1.11451,1.45864,0.5117,0.00928,1.35008,0.97898,0.98079,0.99122,0.73401,0.91604,0.91623,0.90228,0.48271,0.98666,1.2187,0.2927,0.01351,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,5918.28,1.11217,1.47302,0.5092,0.00917,1.24811,0.97543,0.98008,0.99154,0.72711,0.91022,0.90033,0.88992,0.47339,1.00216,1.23088,0.29584,0.01372,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,6159.73,1.11867,1.4723,0.51634,0.00929,1.33611,0.97399,0.96949,0.99005,0.73695,0.91366,0.90506,0.90727,0.49449,0.99654,1.21393,0.30118,0.01367,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,6404.16,1.10374,1.45358,0.51581,0.00914,1.38283,0.9796,0.97996,0.99066,0.73534,0.91129,0.91143,0.88635,0.4795,0.98901,1.2221,0.29512,0.01354,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,6645.9,1.10721,1.47115,0.51721,0.00919,1.18167,0.98574,0.98065,0.99181,0.73751,0.927,0.9202,0.91421,0.49889,1.0022,1.20758,0.28094,0.01378,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,6890.53,1.09974,1.4526,0.50115,0.00908,1.1449,0.98192,0.9731,0.99156,0.74047,0.92185,0.91347,0.91651,0.50078,0.9894,1.20064,0.28813,0.01352,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,7135.03,1.10882,1.46521,0.50709,0.00921,1.3335,0.9795,0.98193,0.99162,0.73685,0.9126,0.91254,0.906,0.49287,1.00339,1.20764,0.296,0.01375,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,7375.98,1.08505,1.44698,0.49798,0.00891,1.27569,0.98284,0.98164,0.99139,0.74299,0.91882,0.91588,0.9078,0.49681,0.97605,1.20253,0.28139,0.01336,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,7617.48,1.08327,1.4509,0.50097,0.00896,1.06299,0.97667,0.97706,0.98998,0.73867,0.9183,0.91117,0.90806,0.49254,0.97822,1.20267,0.28863,0.01337,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,7859.92,1.09406,1.44551,0.49518,0.00903,1.23647,0.97664,0.98629,0.99125,0.74254,0.91944,0.90932,0.89938,0.49166,0.97808,1.19615,0.27971,0.01336,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,8101.3,1.08837,1.44323,0.49446,0.00896,1.11286,0.97959,0.98019,0.9914,0.7399,0.92921,0.91021,0.9079,0.49826,0.9852,1.19971,0.28709,0.01346,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,8342.45,1.07846,1.42623,0.48199,0.00895,1.13945,0.98509,0.97804,0.99211,0.74911,0.92488,0.91813,0.9148,0.50115,0.9738,1.19137,0.27995,0.01329,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,8585.91,1.07596,1.42199,0.48215,0.00884,1.25913,0.98321,0.98612,0.99194,0.74247,0.92559,0.92182,0.91018,0.4956,0.96932,1.19236,0.27986,0.01328,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,8827.05,1.0658,1.41678,0.4761,0.00883,1.0313,0.97918,0.98628,0.99216,0.74988,0.92233,0.91521,0.91471,0.50788,0.96902,1.1898,0.27769,0.01323,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,9070.2,1.07355,1.41773,0.47005,0.00887,1.10742,0.98129,0.98648,0.9917,0.74248,0.9188,0.92233,0.91037,0.49801,0.97398,1.19781,0.2804,0.01329,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,9312.35,1.07266,1.42391,0.47585,0.00883,1.05747,0.98749,0.97895,0.99154,0.74871,0.92592,0.91707,0.91526,0.50889,0.9797,1.19812,0.27624,0.01342,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,9553.3,1.06564,1.42384,0.46805,0.00876,1.11748,0.97874,0.98481,0.99122,0.74569,0.91953,0.91513,0.90847,0.50096,0.97099,1.19903,0.27781,0.01328,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,9794.27,1.07241,1.41676,0.47043,0.00884,1.13649,0.97258,0.98225,0.99134,0.74659,0.91764,0.91793,0.91325,0.50497,0.97908,1.20367,0.28453,0.01339,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,10035.5,1.06765,1.40634,0.47173,0.0088,1.00918,0.98042,0.97813,0.99182,0.74432,0.91585,0.91255,0.90633,0.49724,0.97326,1.18702,0.28661,0.01333,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,10276.5,1.06867,1.4106,0.47605,0.00876,1.08872,0.98251,0.97814,0.99156,0.74765,0.92141,0.91572,0.91581,0.50438,0.9731,1.19072,0.2838,0.0133,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
